texture_stem,slot_name,tri_strcode,texture_strcode
sna_def_olive.bmp_3613882f043e61b306da380d95f00e56,camoufla-auscam_vr,413aa8,765dfa
sna_def_olive.bmp_429f87cee87483c5dfd68a8483db6a88,camoufla-dc_grenade,413aa8,765dfa
sna_def_olive.bmp_429f87cee87483c5dfd68a8483db6a88,camoufla-dc_grenade_vr,413aa8,765dfa
sna_def_olive.bmp_429f87cee87483c5dfd68a8483db6a88,camoufla-grenade,413aa8,765dfa
sna_def_olive.bmp_4ed6ab75380ef132068c07def42791b2,camoufla-hebi_vr,413aa8,765dfa
sna_def_olive.bmp_4ed6ab75380ef132068c07def42791b2,camoufla-snake,413aa8,765dfa
sna_def_olive.bmp_4fe34e9fb94333e54a96678c83539a6a,camoufla-black,413aa8,765dfa
sna_def_olive.bmp_4fe34e9fb94333e54a96678c83539a6a,camoufla-black_vr,413aa8,765dfa
sna_def_olive.bmp_57799a742ee247d19fecd7117747eb4c,camoufla-garco,413aa8,765dfa
sna_def_olive.bmp_57799a742ee247d19fecd7117747eb4c,camoufla-garco_vr,413aa8,765dfa
sna_def_olive.bmp_5cde5a23f56142e48a6daea0749d27b6,camoufla-desert,413aa8,765dfa
sna_def_olive.bmp_5cde5a23f56142e48a6daea0749d27b6,camoufla-desert_vr,413aa8,765dfa
sna_def_olive.bmp_66e33477ee309989a8edabf630709b1f,camoufla-hornet_stripe,413aa8,765dfa
sna_def_olive.bmp_66e33477ee309989a8edabf630709b1f,camoufla-hornet_stripe_vr,413aa8,765dfa
sna_def_olive.bmp_6944dfbf2b7396ecd6c6b4eae01573c9,camoufla-cold_war,413aa8,765dfa
sna_def_olive.bmp_6944dfbf2b7396ecd6c6b4eae01573c9,camoufla-cold_war_vr,413aa8,765dfa
sna_def_olive.bmp_69a080e9a1fbf01b5815160fd59db213,camoufla-animal,413aa8,765dfa
sna_def_olive.bmp_69a080e9a1fbf01b5815160fd59db213,camoufla-animal_vr,413aa8,765dfa
sna_def_olive.bmp_6ad901c21d969ba685fb19576d166134,camoufla-fly,413aa8,765dfa
sna_def_olive.bmp_6ad901c21d969ba685fb19576d166134,camoufla-fly_vr,413aa8,765dfa
sna_def_olive.bmp_6b97ee6a2a4b329361fa5a0d882cd8aa,camoufla-rain_stroke,413aa8,765dfa
sna_def_olive.bmp_6b97ee6a2a4b329361fa5a0d882cd8aa,camoufla-rain_stroke_vr,413aa8,765dfa
sna_def_olive.bmp_80b56de647570ad2aea1f3d87ce70d27,camoufla-spider,413aa8,765dfa
sna_def_olive.bmp_80b56de647570ad2aea1f3d87ce70d27,camoufla-spider_vr,413aa8,765dfa
sna_def_olive.bmp_8376e598d8c57af4a0eb4f3fd60a016f,camoufla-moss,413aa8,765dfa
sna_def_olive.bmp_8376e598d8c57af4a0eb4f3fd60a016f,camoufla-moss_vr,413aa8,765dfa
sna_def_olive.bmp_8a7087c7c87848f2d0a0aa81a5398d63,camoufla-squares,413aa8,765dfa
sna_def_olive.bmp_8a7087c7c87848f2d0a0aa81a5398d63,camoufla-squares_vr,413aa8,765dfa
sna_def_olive.bmp_9af6aaef5b609776c8e303d94ab315b0,camoufla-tree_bark,413aa8,765dfa
sna_def_olive.bmp_9af6aaef5b609776c8e303d94ab315b0,camoufla-tree_bark_vr,413aa8,765dfa
sna_def_olive.bmp_b38b6218ff8fa62af178fe6218ed1e0a,camoufla-water,413aa8,765dfa
sna_def_olive.bmp_b38b6218ff8fa62af178fe6218ed1e0a,camoufla-water_vr,413aa8,765dfa
sna_def_olive.bmp_c24ea2e0e48eee993d85e497dc482559,camoufla-spirit,413aa8,765dfa
sna_def_olive.bmp_c24ea2e0e48eee993d85e497dc482559,camoufla-spirit_vr,413aa8,765dfa
sna_def_olive.bmp_c93f85099829dd9ea31bea8b0ed00ceb,camoufla-dpm,413aa8,765dfa
sna_def_olive.bmp_c93f85099829dd9ea31bea8b0ed00ceb,camoufla-dpm_vr,413aa8,765dfa
sna_def_olive.bmp_c9b5db71e3bb16a2462c4ad6d16643a6,camoufla-leaf,413aa8,765dfa
sna_def_olive.bmp_c9b5db71e3bb16a2462c4ad6d16643a6,camoufla-leaf_vr,413aa8,765dfa
sna_def_olive.bmp_d1074941f11b44c7bc252191a3af0061,camoufla-splitter,413aa8,765dfa
sna_def_olive.bmp_d1074941f11b44c7bc252191a3af0061,camoufla-splitter_vr,413aa8,765dfa
sna_def_olive.bmp_e4294d43ca30e584d679b3175ebea12f,camoufla-snow,413aa8,765dfa
sna_def_olive.bmp_e4294d43ca30e584d679b3175ebea12f,camoufla-snow_vr,413aa8,765dfa
sna_def_olive.bmp_fb7533906ae772bfe0412dad5c8f1b2c,camoufla-fire,413aa8,765dfa
sna_def_olive.bmp_fb7533906ae772bfe0412dad5c8f1b2c,camoufla-fire_vr,413aa8,765dfa
sna_def_olive.bmp_fddc17abd35f6bd4bcfe075aa87fcd3d,camoufla-tiger_stripe,413aa8,765dfa
sna_def_olive.bmp_fddc17abd35f6bd4bcfe075aa87fcd3d,camoufla-tiger_stripe_vr,413aa8,765dfa
sna_face_def.bmp,camoufla-animal,413aa8,03a157
sna_face_def.bmp,camoufla-auscam,413aa8,03a157
sna_face_def.bmp,camoufla-banana,413aa8,03a157
sna_face_def.bmp,camoufla-black,413aa8,03a157
sna_face_def.bmp,camoufla-choco_chip,413aa8,03a157
sna_face_def.bmp,camoufla-cold_war,413aa8,03a157
sna_face_def.bmp,camoufla-dc_anubis,413aa8,03a157
sna_face_def.bmp,camoufla-dc_barrac,413aa8,03a157
sna_face_def.bmp,camoufla-dc_btiger,413aa8,03a157
sna_face_def.bmp,camoufla-dc_chamel,413aa8,03a157
sna_face_def.bmp,camoufla-dc_dododo,413aa8,03a157
sna_face_def.bmp,camoufla-dc_eastg,413aa8,03a157
sna_face_def.bmp,camoufla-dc_fest,413aa8,03a157
sna_face_def.bmp,camoufla-dc_flower,413aa8,03a157
sna_face_def.bmp,camoufla-dc_grenade,413aa8,03a157
sna_face_def.bmp,camoufla-dc_klmk,413aa8,03a157
sna_face_def.bmp,camoufla-dc_mummy,413aa8,03a157
sna_face_def.bmp,camoufla-dc_ndsrt,413aa8,03a157
sna_face_def.bmp,camoufla-dc_rainbow,413aa8,03a157
sna_face_def.bmp,camoufla-dc_rock,413aa8,03a157
sna_face_def.bmp,camoufla-dc_santa,413aa8,03a157
sna_face_def.bmp,camoufla-dc_swamp,413aa8,03a157
sna_face_def.bmp,camoufla-dc_swood,413aa8,03a157
sna_face_def.bmp,camoufla-dc_valen,413aa8,03a157
sna_face_def.bmp,camoufla-dc_westg,413aa8,03a157
sna_face_def.bmp,camoufla-dc_wsnake,413aa8,03a157
sna_face_def.bmp,camoufla-desert,413aa8,03a157
sna_face_def.bmp,camoufla-dpm,413aa8,03a157
sna_face_def.bmp,camoufla-fire,413aa8,03a157
sna_face_def.bmp,camoufla-flecktarn,413aa8,03a157
sna_face_def.bmp,camoufla-fly,413aa8,03a157
sna_face_def.bmp,camoufla-garco,413aa8,03a157
sna_face_def.bmp,camoufla-grenade,413aa8,03a157
sna_face_def.bmp,camoufla-hornet_stripe,413aa8,03a157
sna_face_def.bmp,camoufla-leaf,413aa8,03a157
sna_face_def.bmp,camoufla-maintenance,413aa8,03a157
sna_face_def.bmp,camoufla-moss,413aa8,03a157
sna_face_def.bmp,camoufla-mummy,413aa8,03a157
sna_face_def.bmp,camoufla-naked,413aa8,03a157
sna_face_def.bmp,camoufla-normal,413aa8,03a157
sna_face_def.bmp,camoufla-officer,413aa8,03a157
sna_face_def.bmp,camoufla-rain_stroke,413aa8,03a157
sna_face_def.bmp,camoufla-scientist,413aa8,03a157
sna_face_def.bmp,camoufla-snake,413aa8,03a157
sna_face_def.bmp,camoufla-sneaking,413aa8,03a157
sna_face_def.bmp,camoufla-snow,413aa8,03a157
sna_face_def.bmp,camoufla-spider,413aa8,03a157
sna_face_def.bmp,camoufla-spirit,413aa8,03a157
sna_face_def.bmp,camoufla-splitter,413aa8,03a157
sna_face_def.bmp,camoufla-squares,413aa8,03a157
sna_face_def.bmp,camoufla-tiger_stripe,413aa8,03a157
sna_face_def.bmp,camoufla-tree_bark,413aa8,03a157
sna_face_def.bmp,camoufla-water,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-animal_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-auscam_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-banana_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-black_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-choco_chip_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-cold_war_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_anubis_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_barrac_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_btiger_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_chamel_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_dododo_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_eastg_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_fest_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_flower_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_grenade_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_klmk_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_mummy_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_ndsrt_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_rainbow_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_rock_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_santa_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_swamp_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_swood_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_valen_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_westg_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dc_wsnake_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-desert_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-dpm_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-fire_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-flecktarn_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-fly_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-garco_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-hebi_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-hornet_stripe_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-leaf_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-maintenance_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-moss_vr,413aa8,03a157
sna_face_def.bmp_bbe58170874ef112ad7f8269143d4430,camoufla-naked_vr,413aa8,03a157
