texture_name,mc_tri_dumped_sha1,mc_tri_dumped_alpha_levels,mc_tri_dumped_width,mc_tri_height,mc_tri_width_ciel2,mc_tri_height_ciel2
00ae2938,a69621f59f0f6d465530213590d184a569dc78a1,[0],58,44,64,64
00d81b4d,daf433204016e0aab775706e3e5fe1ffbdd9d197,[0],2,2,2,2
ahandlegrip_ovl_sub_alp.bmp_5286c2cb0586c31cdc816c7b1c9d50c3,3aef4e908f8a4ac79c1e9ecd4033cc41fa570c0a,[0],33,15,64,16
dummy.bmp,b7a9e42c84f5e3175f8b8b2a7f224c943025c263,[0],32,16,32,16
mic_alp_ovl.bmp,1bf9abf0a94ea6d42aed7460b9de3acb51f05b1d,[0],8,8,8,8
s081a_mogi_light_add_alp_01.trans.bmp,836bfc5165e61aec71aa8ad7f4cff00f0a097943,[0],8,8,8,8
thu_arm_cord_ovl_alp.bmp,e78a842506d0a881a12e49b7cea31e037b1ef1d4,[0],256,32,256,32
