texture_name,tri_dumped_tga_sha1,tri_dumped_width,tri_dumped_height,tri_dumped_width_pow2,tri_dumped_height_pow2,tri_dumped_png_converted_sha1,tri_dumped_alpha_stripped_sha1
armory_sdwlight_alp_ovl.bmp,4ed68e0c647739f90b845440672939d11f34f613,64,64,64,64,8896e4bdc0436dd4b8772b2d7dfaab4b62f98818,a2591699b48472a87c88319aa4b8ec96728bcebe
armory_sdwline_alp_ovl.bmp,8f1e12a85451cb32300beceaef63aeb9d93817a9,16,16,16,16,29c8c51749efcc1182c557976025cf66fd994430,348339dcd20e03de0539e8d345dd10132eb47e5e
armory_shelf01.bmp,f7f273a189f194eb5c1e6b551a6a08087bc75f24,50,24,64,32,858eafe1ea05715b712d4c626875540c8d504ecc,950dea8a4606ae01cc39f5b070eaccb98b888107
armory_shelf01.bmp_9c4e006caf1b1d5994b2515ebc5607f4,883aae469cd07d62f7de66ed10f061aed36f4280,50,25,64,32,723703e5e2aa33683e523f2baf6ec43b35d6dbad,bfe4da5f6ed7177ef36613322b0c9a952ca901a1
armory_shelf02.bmp,08ddd6b5386fbaca498650f44fffb7897b2a8f5a,16,16,16,16,98868bc0625f51539425a41106558c865e294854,bbb32d0744db749e0143c174e4c57d3ca34fc6f4
armory_sign_alp_ovl_03.bmp,c0af6d30218dfdb3656d43f146c5a80fa2df7851,64,48,64,64,65bc9f0711704aaf40b11bfff9d558ca7750942a,0000000000000000000000000000000000000000
armory_vent00.bmp,f589968c5b346f430875bb1ebdcd3e7358db10bb,32,24,32,32,4ce6f08ec1d0a4972f5917d246aa51b1f601237b,01e0e851ea7126ad054dca62a9e6d1c4e91d3fe8
armory_wall01.bmp,3f9032ae408e22450e5279cf2750e1eb681cb32f,128,256,128,256,3fa0097eeff993701d65e2053631807e92127599,fbe884d9b44aa82732c2a99b40306447a3aa7777
armory_wall01.bmp_42781015d7a89e3dd0162a4f9c656a7d,8d3fa99dd2dfaba744b978986ff847b7d7159975,256,256,256,256,1563ea28ba6a2c81aa11b3eecd5cea10260fbba3,00302748a3cde0a70ca1e0214ae87fac846e8c01
armory_win_add_alp.trans.bmp,de3a6baf0e0b92140e7c961a5d3e1aa40af402b1,16,16,16,16,9181820a511ebc43aa0fdea5789665b58bae4925,0000000000000000000000000000000000000000
armory_window_alp_ovl_01.bmp,53d154225637d9a60c6acf963e41cf0c11dd1022,48,48,64,64,e472228bfc6c847378021fd2db43855c964c2602,074d4fd1a1357c80a827916f08235c3b734125f6
aro_dmo.bmp,a0de3307de6be0c583439325ec8bc85b7ab5706c,256,72,256,128,103842e2bee3298bcd7135155fbed0437939eb65,e4cdba03884cf3759a153d4ff30576c173be2200
arowana_co02_eaten.bmp,6573efc5535b8ee607438a46fddb92bfa6fa307c,256,72,256,128,97c01206222bcc812bf232dab75913e2d5f4269c,e1eaeabc9d093dc08e4c4c40b3a72e47ef210a1d
arowana_co02_eaten02.bmp,2c4043ab82b04073bf1f9014255af9547592b57d,256,72,256,128,79161df6311d1d22db765d1d1bd2dc695edca6fa,114cd684f8c1d653478f52eb5147227b4356a9e5
arowana_hire.bmp,2b89b3f6cfb65a990fb91a9027a3a45f379c1ebc,32,16,32,16,032aed0f30315a0fb6cb5573a20e97399460ebc5,7862f837301458642cd8fa47729227a30c4fe832
arowana_maehire02.bmp,b9b56e4c2b9d0b3e30860cff700583d9f39744c6,32,16,32,16,6e708cc738799ec6e4273f0c387b5a04289625af,d9cd5a5a0eb244d7ccc7d39358e03074e6687d0a
ashirindahead_ovl_sub_alp.bmp,af7d7120c47da21409b4d34340bf5926bf445ef5,216,46,256,64,375db1e54fbbaecfb742742005f663135842e5bf,5e9d3419906604f467958750a2c253fe1559cc40
ashirindahead_ovl_sub_alp.bmp_112e708131775183b190e919d5290f90,3da7554c3842665fbbf1b109483835965eaba8f0,108,23,128,32,c90c08bad421b8495c9972a29065d5410150fbe7,3b25cabc622d718638e6e6318f3566063dea27e7
ashtray_00.bmp,e1af5d416c54e3a548ae376fb35c0c03694d3d61,64,64,64,64,fd06ba9367b8996b4bcbdb65485caa289b94c685,2801db7c9580b8ecdbbfee609ff7834a63a65ad3
ashtray_01_alp_ovl.bmp,6619cec183b6a187f0fed59eaf7f149a8242ee56,64,64,64,64,61d7fd143bd1dc40720fd8cf375eca4274984ef1,51bb247edfdadd2330f4689fc8ee098db54f8046
aspook_ovl_sub_alp.bmp,6c5f17f7d0ab7a44a9419e08beb3b031990ef129,6,36,8,64,446ae6441c7bdaa9f4e5c888001e58bb6de34a51,3142557b00bbe96872992c63a83c9fb30a0eb857
aspook_ovl_sub_alp.bmp_312c358450a2a50a8319a8a7dd498479,f7ea1b42a53029ab99e59db2bfb94478da6d6572,3,18,4,32,5a4471d0fff01aef0c28ee4266f6a9bc4b20bd15,a957bc700ff62e2cadee2f423ebd48378baaea84
aspookbs_ovl_sub_alp.bmp,9476e4a7b33d7c1de9fa532ab61ec377d9db6435,16,16,16,16,a329b4703cbd1e0f60be6422459c193c2204cc4c,0000000000000000000000000000000000000000
aspookbs_ovl_sub_alp.bmp_4615badbcc715c31cc8ff2a6db6d6cb0,0fd555c2001ba89df1978d254d12c74c305d5e5a,8,8,8,8,cb6d46766e7aabe8fa0d8f1480ecbcaeffef818c,0000000000000000000000000000000000000000
